protocol,N,bootstrap_runs,valid_plans_median,valid_plans_min,mae_mean,mae_median,mae_p25,mae_p75,mae_iqr,ks_mean,ks_median,ks_p25,ks_p75,ks_iqr,wasserstein_mean,wasserstein_median,wasserstein_p25,wasserstein_p75,wasserstein_iqr,bottom_decile_agreement_mean,bottom_decile_agreement_median,bottom_decile_agreement_p25,bottom_decile_agreement_p75,bottom_decile_agreement_iqr
Anal in 25-33fx,10,50,14.0,14,0.1379986197377501,0.128191856452726,0.0917874396135265,0.1790890269151138,0.0873015873015873,0.4628571428571428,0.4285714285714286,0.4285714285714285,0.5,0.0714285714285714,0.1379986197377501,0.128191856452726,0.0917874396135265,0.1790890269151138,0.0873015873015873,0.8328571428571427,1.0,0.5714285714285714,1.0,0.4285714285714286
Brain SRS 1fx,10,50,21.0,21,0.1179853084707453,0.1019417475728155,0.0672163147891303,0.1496250064211229,0.0824086916319925,0.5647619047619048,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.1179853084707453,0.1019417475728155,0.0672163147891303,0.1496250064211229,0.0824086916319925,1.0,1.0,1.0,1.0,0.0
Brain SRS 1fx,20,50,21.0,21,0.073032581453634,0.0572912864685987,0.0426612648125167,0.0967953865245638,0.0541341217120471,0.5304761904761904,0.5714285714285714,0.4761904761904762,0.5714285714285714,0.0952380952380951,0.073032581453634,0.0572912864685987,0.0426612648125167,0.0967953865245638,0.0541341217120471,1.0,1.0,1.0,1.0,0.0
Brain SRS 1fx,30,50,21.0,21,0.0677264973615827,0.0709184242830041,0.0381454557048798,0.0881478470196247,0.0500023913147448,0.54,0.5714285714285714,0.4880952380952381,0.5714285714285714,0.0833333333333333,0.0677264973615827,0.0709184242830041,0.0381454557048798,0.0881478470196247,0.0500023913147448,1.0,1.0,1.0,1.0,0.0
Brain SRS 1fx,50,50,21.0,21,0.0581261852868748,0.0525677677451007,0.0332399256512591,0.075006840461566,0.0417669148103068,0.5485714285714286,0.5714285714285714,0.5238095238095237,0.5714285714285714,0.0476190476190476,0.0581261852868748,0.0525677677451007,0.0332399256512591,0.075006840461566,0.0417669148103068,1.0,1.0,1.0,1.0,0.0
Brain SRS 1fx,75,50,21.0,21,0.0425877472479414,0.037944671439817,0.0279797828341517,0.05615324061926,0.0281734577851082,0.5295238095238096,0.5238095238095237,0.4761904761904762,0.5714285714285714,0.0952380952380951,0.0425877472479414,0.037944671439817,0.0279797828341517,0.05615324061926,0.0281734577851082,1.0,1.0,1.0,1.0,0.0
Brain SRT 3fx,10,50,20.0,20,0.1451409985365304,0.1250657013396375,0.0973027482269503,0.183828541877744,0.0865257936507936,0.337,0.3,0.25,0.3999999999999999,0.1499999999999999,0.108426455026455,0.0954524231678487,0.0657762017336485,0.129344365642238,0.0635681639085894,0.946,0.975,0.9,1.0,0.0999999999999999
Brain SRT 3fx,20,50,20.0,20,0.0795678494539126,0.076179786136179,0.0566156089384672,0.0979768466674961,0.0413612377290289,0.262,0.25,0.1999999999999999,0.3,0.1,0.0692231313236846,0.0608370865296133,0.0469596362561788,0.0870683327704604,0.0401086965142816,0.978,1.0,1.0,1.0,0.0
Brain SRT 3fx,30,50,20.0,20,0.070599185667793,0.0613652618135376,0.0509859514687101,0.0926127144460477,0.0416267629773376,0.25,0.25,0.1999999999999999,0.3,0.1,0.0623221825898467,0.0557336524240412,0.0464411876666783,0.0697359422492401,0.0232947545825617,0.986,1.0,1.0,1.0,0.0
Brain SRT 3fx,50,50,20.0,20,0.0591790722590235,0.0535037063738539,0.0457486055236442,0.0710878212248689,0.0253392157012247,0.246,0.2499999999999999,0.2,0.3,0.0999999999999999,0.0515722240340187,0.0482303950058774,0.0379829168073848,0.0619391790242854,0.0239562622169005,1.0,1.0,1.0,1.0,0.0
Brain SRT 5fx,10,50,20.0,20,0.1032143434343434,0.0928834776334776,0.0798882575757575,0.1164590548340548,0.0365707972582972,0.29,0.3,0.25,0.35,0.0999999999999999,0.0902245887445887,0.0813154761904761,0.0601684704184704,0.1054772727272727,0.0453088023088023,0.918,0.9,0.9,0.95,0.0499999999999999
Brain SRT 5fx,20,50,20.0,20,0.0714846806364143,0.0694222636024106,0.0532611832611832,0.0854125041625041,0.0321513209013209,0.225,0.2,0.2,0.25,0.0499999999999999,0.0590571735293716,0.0571065221543162,0.042505917897462,0.0684813709574739,0.0259754530600119,0.934,0.9,0.9,1.0,0.0999999999999999
